u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
569850326,250713331,Σπύρου Τρικούπη,tertiary,,5.188,1,,,,,,,,,92,0.0
97792973,359096435,Καλλιδρομίου,residential,,11.318,,,,,,,,,,93,0.0
358464049,358464174,Ρεθύμνου,residential,yes,47.14,,,,,,,,,,94,3.614600922239607e-05
358464049,358464040,Αλεξάνδρας,primary,yes,92.496,3,,,,50,,,,,95,0.003960569867653969
358464174,97797093,Ρεθύμνου,residential,yes,53.226,,,,,,,,,,96,4.130972482559551e-05
358464174,358464166,Ιουλιανού,residential,yes,92.586,,,,,,,,,,97,1.032743120639888e-05
97797093,97797186,Ρεθύμνου,residential,yes,51.015,,,,,,,,,,98,2.065486241279775e-05
97797093,97797098,Μετσόβου,residential,yes,65.611,,,,,,,,,,99,2.065486241279775e-05
97797186,97797196,Κυβέλης,residential,,65.435,,,,,,,,,,100,5.163715603199438e-06
97797186,97797191,Ρεθύμνου,residential,yes,46.724,,,,,,,,,,101,1.549114680959831e-05
97797191,97797197,Βασιλέως Ηρακλείου,tertiary,yes,46.577,,,,,,,,,,102,0.0
97797196,97797098,Μαυροματαίων,secondary,yes,51.848,1,,,,,,,,,103,0.001389039497260649
97797196,97797186,Κυβέλης,residential,,65.435,,,,,,,,,,104,0.0
97797090,97797197,Σαριπόλου,residential,yes,97.707,,,,,,,,,,105,0.0
97797090,97797093,Μετσόβου,residential,yes,46.412,,,,,,,,,,106,1.032743120639888e-05
97797197,97788219,Βασιλέως Ηρακλείου,tertiary,yes,46.981,,,,,,,,,,107,0.0
97834824,97834765,Σωνιέρου,residential,yes,47.69,,,,,,,,,,108,0.0
97834824,97834834,Κωσταντίνου Παλαιολόγου,residential,yes,66.766,,,,,,,,,,109,0.0001187654588735871
97834765,95663524,Σωνιέρου,residential,yes,47.725,,,,,,,,,,110,1.032743120639888e-05
97834765,95663499,Βατσαξή,residential,,75.695,,,,,,,,,,111,5.163715603199438e-06
95663524,633562897,Μαιζώνος,residential,yes,48.552,,,,,,,,,,112,0.0
95663524,98303817,Σωνιέρου,residential,yes,69.78999999999999,,,,,,,,,,113,1.549114680959831e-05
98303817,95663502,Φαβιέρου,residential,yes,41.419,1,,,,,,,,,114,0.0002168760553343764
95663499,95663501,Μάγερ,tertiary,yes,50.867,1,,,,,,,,,115,1.549114680959831e-05
95663499,97834765,Βατσαξή,residential,,75.695,,,,,,,,,,116,5.163715603199438e-06
97834909,633562896,Κωσταντίνου Παλαιολόγου,residential,yes,26.907,,,,,,,,,,117,9.811059646078932e-05
97834909,97839373,"['Σαχίνη', 'Ακομινάτου']",residential,yes,139.707,,,,,,,,,,118,0.0
97839373,962356512,Λιοσίων,secondary,no,85.697,2,,,,30,,,,,119,0.0
97839373,95663490,Λιοσίων,secondary,no,16.752,2,,,,30,,,,,120,0.000211712339731177
5630842135,95663374,Ακομινάτου,residential,yes,64.817,1,,,,,,,,,121,0.0
5630842135,31179468,Καρόλου,secondary,no,85.535,4,,,,,,,,,122,0.0
6693568141,31179468,Μάρνη,secondary,,60.818,4,,,,,,,,,123,0.0
6693568141,95663375,Μάρνη,secondary,,26.791,4,,,,,,,,,124,0.006397843632364104
844627879,95663418,Μάρνη,secondary,,51.088,4,,,,,,,,,125,0.007022653220351236
844627879,95663375,Μάρνη,secondary,,33.797,4,,,,,,,,,126,0.0008055396340991124
95663418,95663527,Μάρνη,secondary,no,46.886,4,,,,,,,,,127,0.007487387624639186
95663418,844627879,Μάρνη,secondary,,51.088,4,,,,,,,,,128,0.0008107033497023118
95663385,635138659,Σωκράτους,tertiary,yes,31.513,2,,,,,,,,,129,8.261944965119101e-05
